Fraction_Size	Depth	Lakes_names	Assembly	 contigs (>= 0 bp)	 contigs (>= 1000 bp)	 contigs (>= 5000 bp)	 contigs (>= 10000 bp)	 contigs (>= 25000 bp)	 contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	 contigs	Largest contig	Total length	N50	N90	auN	L50	L90	 N's per 100 kbp
L	2	BALM	BALM2-LM-27jul20.megahit.nv.contigs	3295327	435139	37855	12658	2577	544	2399381473	1153287432	430050123	258738263	109985778	41372233	1262321	225415	1717920070	1662	609	6761.4	201615	950367	0.00
S	2	BALM	BALM2-SM-06apr22.megahit.nv.contigs	2182056	315682	25292	8203	1758	392	1639701594	813867726	287613135	171906875	77542537	31697739	891267	435852	1206952289	1641	610	7030.3	148008	672395	0.00
S	2	BALM	BALM2-SM-27jul20.megahit.nv.contigs	2289107	277534	24448	8453	1834	455	1589490652	749731767	290096308	181534768	83822634	37127728	802706	392552	1107869291	1705	610	8143.5	123705	601647	0.00
L	3	BALM	BALM3-LM-27jul20.megahit.nv.contigs	4088356	318401	16838	5162	1055	242	2481920779	678434435	183656403	105292238	45868963	18477891	1716332	221692	1615719030	870	554	3535.6	457805	1409067	0.00
S	3	BALM	BALM3-SM-06apr22.megahit.nv.contigs	2222241	343007	30337	10579	2432	607	1780907984	939344959	367376528	232957622	111930483	50207278	935687	542585	1345211764	1828	622	8985.2	140041	694056	0.00
S	3	BALM	BALM3-SM-27jul20.megahit.nv.contigs	2829138	359378	32644	11240	2417	618	2027199047	977726836	383978446	238146625	108302033	47997521	1036823	283703	1439358254	1727	610	7836.6	157870	775671	0.00
			
S	E	BANY	BANYE-SM-15sep21.megahit.nv.contigs	1211136	187436	19025	8205	2611	963	1075802161	608230251	302979068	228640629	144235717	87449238	533029	929750	843340472	2258	626	19879.0	56347	382046	0.00
S	E	BANY	BANYE-SM-28mar22.megahit.nv.contigs	1397382	204428	23896	9233	2533	780	1194485756	665198098	327514873	227250024	126929364	67651496	574574	620814	915797967	2411	625	14158.7	62810	410333	0.00
S	H	BANY	BANYH-SM-15sep21.megahit.nv.contigs	1016276	167412	22124	8889	2377	771	954610976	590987514	312569033	221489904	123142474	68528759	408797	648920	755639117	3225	669	17745.9	38590	277662	0.00
S	H	BANY	BANYH-SM-28mar22.megahit.nv.contigs	1417149	199910	21914	9101	2465	720	1182430694	636078891	310853122	223243856	123118001	63616743	589515	512467	900092296	2158	617	14081.2	66630	427149	0.00
			
L	E	BRTL	BRTLE-LM-15jul20.megahit.nv.contigs	4368737	437529	16262	3699	572	135	2685663706	846182682	152323582	69194765	24864710	10358657	1823596	330457	1786063495	954	564	2679.8	485536	1486876	0.00
S	E	BRTL	BRTLE-SM-15jul20.megahit.nv.contigs	4288022	503211	34159	9883	1840	403	2822708310	1198557366	359232536	196148570	79549808	31054611	1557209	332574	1914822484	1387	591	5151.6	296295	1204395	0.00
S	E	BRTL	BRTLE-SM-26apr22.megahit.nv.contigs	2326049	323295	13700	3534	554	126	1609862533	669405886	134695834	67116462	24399079	10076401	1033105	249070	1151179531	1193	580	3507.6	237150	818929	0.00
L	H	BRTL	BRTLH-LM-15jul20.megahit.nv.contigs	3769741	529913	35332	11133	2410	579	2791498933	1279529960	399755684	237180757	108366703	46133808	1655226	320838	2045384008	1388	593	6010.0	309405	1278922	0.00
S	H	BRTL	BRTLH-SM-15jul20.megahit.nv.contigs	4723640	602657	44793	13701	2533	601	3273966480	1493426772	482954993	272953925	110318016	45854033	1766211	332765	2286911111	1521	602	5755.0	314475	1348396	0.00
S	H	BRTL	BRTLH-SM-26apr22.megahit.nv.contigs	3694404	428817	26981	7789	1315	268	2430804930	980695752	278225239	149169396	54964987	20222059	1426091	289936	1657133254	1247	583	4433.3	291766	1118543	0.00
			
L	E	CADA	CADAE-LM-03sep20.megahit.nv.contigs	2336853	268454	10122	3014	891	365	1549120941	574793730	138904515	91972329	60588502	42399195	1012115	709017	1075399064	1077	568	9842.0	232668	810057	0.00
S	E	CADA	CADAE-SM-03sep20.megahit.nv.contigs	2027784	311114	32394	11212	2769	883	1691720456	933926536	415562374	270741133	148069412	83620572	833831	596410	1291375562	2162	633	14264.4	105907	603697	0.00
S	E	CADA	CADAE-SM-30jun22.megahit.nv.contigs	2236756	306502	23356	8874	2308	727	1675655668	811662056	316324740	217951978	119708848	66078279	925953	550835	1234194990	1547	603	11274.9	147139	701025	0.00
L	H	CADA	CADAH-LM-03sep20.megahit.nv.contigs	1949712	364760	30075	10887	2564	677	1743836486	979708146	375025132	244400944	121308343	57590868	970810	459913	1396901302	1790	627	9507.0	148919	721154	0.00
S	H	CADA	CADAH-SM-03sep20.megahit.nv.contigs	2124886	387295	38265	15161	4239	1303	1997544147	1167687460	532346408	374427596	211069614	111127467	1031824	661912	1609723709	2129	636	13775.3	127146	745996	0.00
S	H	CADA	CADAH-SM-30jun22.megahit.nv.contigs	862475	138185	10959	4178	1059	314	732714845	369474774	146513655	100279691	53559327	28356778	441176	477117	574577577	1502	594	10862.3	69972	335600	0.00
